p_val	avg_log2FC	pct.1	pct.2	p_val_adj
1.16003524430106e-168	0.469291550730167	0.737	0.616	4.01592601224583e-164
2.88603014373487e-55	0.460357968200222	0.409	0.317	9.99114775459576e-51
9.57971376711392e-23	0.459349498150356	0.674	0.673	3.31640110903717e-18
8.67070176731777e-33	0.45838238263714	0.575	0.535	3.00171024482774e-28
6.28153487351041e-86	0.458251241514225	0.434	0.306	2.17460455786057e-81
1.33316888556081e-76	0.456507899820064	0.382	0.264	4.61529736492297e-72
7.98036564019277e-92	0.455302456438323	0.356	0.229	2.76272278097833e-87
2.1548059879415e-132	0.452154460523993	0.259	0.108	7.45972284965469e-128
8.04442368126228e-24	0.449230331779902	0.324	0.266	2.78489903421619e-19
3.75602633613389e-78	0.447278546736364	0.457	0.338	1.30029875730619e-73
1.47757238115833e-101	0.445858264702556	0.25	0.12	5.11520782633203e-97
1.63778644657378e-11	0.444519292141313	0.347	0.314	5.66985289939378e-07
9.0516929034306e-85	0.443369186505698	0.42	0.294	3.13360556623864e-80
3.21361235429689e-61	0.439717278459604	0.638	0.56	1.11252046093404e-56
1.41253297667858e-79	0.437657492072194	0.753	0.689	4.89004791196359e-75
2.00344885763079e-62	0.434992507379852	0.702	0.643	6.93573960023202e-58
3.88163856133666e-93	0.434967916054664	0.539	0.422	1.34378445354914e-88
9.5253466738466e-60	0.433885687314411	0.507	0.415	3.29757976501895e-55
6.18361152316772e-132	0.432983869278289	0.714	0.569	2.14070447320543e-127
3.59606139677433e-77	0.429847296225427	0.524	0.396	1.24492049494931e-72
1.11470226160322e-120	0.428756693330422	0.581	0.442	3.85898775944419e-116
1.63082399618613e-29	0.428556364844668	0.255	0.192	5.64574959239675e-25
3.35952769717565e-09	0.428018674799837	0.357	0.333	0.000116303489348524
5.39664280701095e-29	0.425426805582853	0.251	0.191	1.86826377335912e-24
0.728376633403092	0.423613502870142	0.292	0.315	1
8.26409770610413e-77	0.422388140307542	0.551	0.442	2.86094798487619e-72
1.25608661648032e-25	0.418174808370478	0.295	0.238	4.34844625759322e-21
4.92088003636835e-102	0.41732474425654	0.461	0.325	1.70355945979036e-97
2.56835888906847e-32	0.416627888860303	0.488	0.431	8.89140163806615e-28
6.00646883092746e-62	0.414562011713555	0.401	0.302	2.07937944457878e-57
2.3508969785087e-124	0.41187181846182	0.683	0.554	8.13857024989928e-120
3.04090796885411e-32	0.409315183616807	0.27	0.205	1.0527319297376e-27
2.24869321746681e-108	0.406208752719251	0.662	0.544	7.78475104954835e-104
6.2485060155529e-51	0.404314118891454	0.338	0.25	2.16317029752426e-46
3.74492788647666e-76	0.402875298154758	0.813	0.779	1.29645658501935e-71
5.44791505131385e-68	0.40269690463196	0.718	0.652	1.88601371161434e-63
3.62242980608581e-44	0.401213535779593	0.492	0.408	1.25404897456885e-39
1.81312470527568e-60	0.400731411910541	0.35	0.251	6.27685641719389e-56
3.36513138564173e-13	0.399452495569725	0.486	0.564	1.16497483439531e-08
1.77888738119989e-65	0.395436216043075	0.353	0.246	6.15833022497589e-61
2.07864577897921e-79	0.393122664444805	0.295	0.17	7.19606382224812e-75
1.46600982730503e-43	0.393112570084239	0.615	0.544	5.07517942114728e-39
