"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"expression"
"C12orf45"	3.03768252707619	4.33040275662749	22.2382953980329	1.64351870530787e-09	4.62793606571359e-07	12.4882435255926	"Up"
"SERPINF1"	-2.54130516104911	7.41226138457759	-22.2281763952747	1.65051384079105e-09	4.62793606571359e-07	12.5800681719031	"Down"
"MAZ"	-1.65059686852314	7.20123047058337	-22.2192265211899	1.65672815839982e-09	4.62793606571359e-07	12.5778017908032	"Down"
"FDXR"	3.85828185634771	6.68464884351693	22.2036352912412	1.6676156397525e-09	4.62793606571359e-07	12.6014791601368	"Up"
"ACBD3"	1.30709585046324	6.83485295268574	22.1712810578278	1.69046166449662e-09	4.62793606571359e-07	12.5673530978061	"Stable"
"FAM98C"	1.81895220125629	4.41954410998586	22.099024404776	1.74274088309312e-09	4.62793606571359e-07	12.5114179887295	"Up"
"KCTD11"	1.74751007979962	5.35525803743558	22.0761934436266	1.75962853339376e-09	4.62793606571359e-07	12.5514028994327	"Up"
"GPAA1"	1.8076895392721	7.59326981283456	22.0665965358736	1.76678103066914e-09	4.62793606571359e-07	12.4995237553884	"Up"
"SLC25A15"	2.49050476011671	4.34192801979782	22.0556367786463	1.77498851227043e-09	4.62793606571359e-07	12.455222424469	"Up"
"AGRN"	2.42754877514193	10.5525770148678	22.0510905814987	1.77840538073394e-09	4.62793606571359e-07	12.388279542642	"Up"
"TMEM68"	2.24651968579191	4.41224632791684	22.0139632463701	1.80658308757872e-09	4.62793606571359e-07	12.4609079724784	"Up"
"LACC1"	3.49932905482471	4.78643713731233	22.0126796641288	1.8075660302341e-09	4.62793606571359e-07	12.4484409561375	"Up"
"PTGS2"	5.40137378017536	4.92817127906959	22.004090144977	1.81415892671647e-09	4.62793606571359e-07	12.2921307877149	"Up"
"TMEM120B"	1.58780128825054	5.74966577027521	21.9823822760119	1.83093940591566e-09	4.62828192008098e-07	12.5112904505153	"Up"
"GALE"	2.8456235457013	6.12376712727654	21.9408942788404	1.86348873017915e-09	4.64139344192677e-07	12.493139995504	"Up"
"GAL3ST4"	3.85734627339053	4.52266236204026	21.9113223381257	1.88707900256779e-09	4.64139344192677e-07	12.3336273448312	"Up"
"CDC25B"	-3.73208268817093	4.42691388118572	-21.8928249852955	1.90200222227414e-09	4.64139344192677e-07	12.3297941011029	"Down"
"NDUFAF8"	1.79917425080425	5.09511429235201	21.8917240496017	1.90289452772658e-09	4.64139344192677e-07	12.4693838356935	"Up"
"AC025423.2"	3.11110415510617	2.38627826353824	21.7890346506828	1.98819085958097e-09	4.72675395087308e-07	11.4848649248424	"Up"
"SPRYD3"	1.34863945336577	5.37188370425793	21.7646653565492	2.00904641521432e-09	4.72675395087308e-07	12.420286110031	"Stable"
"GM2A"	3.65772634232203	7.27556586996049	21.7407477796416	2.02975034051703e-09	4.72675395087308e-07	12.383066623705	"Up"
"ATP1A1"	1.71565599293874	8.51090519487582	21.7386586486232	2.03156991791154e-09	4.72675395087308e-07	12.3195040422349	"Up"
"PRDX1"	1.59156820311935	7.38737452425219	21.7298240141232	2.03928457281056e-09	4.72675395087308e-07	12.3571154021553	"Up"
"NOMO2"	1.79686616691678	7.7625489736659	21.7184597721598	2.04925572514843e-09	4.72675395087308e-07	12.3394248408622	"Up"
"SEC61A1"	1.19320737385397	9.45699975079734	21.7098065948801	2.05688422662606e-09	4.72675395087308e-07	12.268014904231	"Stable"
"PLOD3"	2.07223911026884	7.67567737778764	21.562672122092	2.19151058905658e-09	4.98849056157696e-07	12.2746644114715	"Up"
"SHROOM2"	2.03838217836937	6.39631622530198	21.5467405779439	2.20666165242741e-09	4.98849056157696e-07	12.3112607354847	"Up"
"ETS1"	-1.42381533477394	6.02950741255882	-21.4638789230347	2.28735102747082e-09	5.12920021531078e-07	12.2806652268531	"Stable"
"PAPPA"	3.85086297172381	9.46865200637013	21.4099421904786	2.341620636686e-09	5.18903974514421e-07	12.1502464024872	"Up"
"SYNGR2"	2.59032349471626	5.3553298080711	21.4004091599999	2.35135944719906e-09	5.18903974514421e-07	12.2615764373942	"Up"
"FOSL1"	5.0848356286569	3.66735270713425	21.3729878751318	2.37962268983325e-09	5.21006208767743e-07	11.619317851748	"Up"
"SLC35E3"	1.57764216892964	4.27132014385026	21.3199559986727	2.43535244060891e-09	5.28126690078212e-07	12.1865628823736	"Up"
"IGF2R"	0.919997417348847	8.69913084837462	21.3061172863746	2.45013101561136e-09	5.28126690078212e-07	12.1121910065318	"Stable"
"PLEC"	1.77993369472298	9.99658121618021	21.2158384877841	2.54900398468321e-09	5.45212344600779e-07	12.0235380997877	"Up"
"P4HA2"	1.82048024523703	7.9209282038807	21.1946938238825	2.57279262684931e-09	5.46099784596733e-07	12.0964331137046	"Up"
"ZNF581"	-2.23956127610212	4.52126065813277	-21.1307896007911	2.64618915011671e-09	5.57423753849585e-07	12.1162461234729	"Down"
"FBXL18"	1.2173163467269	6.17790981048762	21.100001032638	2.68237320452687e-09	5.60797513722362e-07	12.1138886651654	"Stable"
"RHBDF1"	1.55725820821744	6.19414522205464	21.0593903142417	2.730938197466e-09	5.63993416915594e-07	12.0968443205106	"Up"
"OSTM1"	1.85390732788762	5.93110988282594	21.0429378902785	2.75088853391829e-09	5.63993416915594e-07	12.0983196507305	"Up"
"CDKN2B"	3.62846989541359	5.71107790774812	21.0366881416216	2.75850912394882e-09	5.63993416915594e-07	12.1035174422008	"Up"
"GDF15"	7.37629842351389	7.23137479292062	21.0101437228509	2.79113643874737e-09	5.65351520089524e-07	12.0897179421956	"Up"
"FBN2"	3.18707693134915	8.26477819409083	20.9983126871649	2.80581564311136e-09	5.65351520089524e-07	12.0031235504126	"Up"
"PSME4"	1.45603956650631	6.19176096358704	20.9577465197706	2.85679796683453e-09	5.71482908387057e-07	12.0502483888045	"Stable"
